Acquire_credit_card_next_month,Gender,Marital_Status,Age,Race,Address_Type,Holding_Paylah!,Holding_Unsecured Loan,Holding_Secured Loan,Holding_Mortgage,Holding_Investment,Holding_Insurance,Holding_Internet Banking,Holding_Mobile Banking,Monthly_Income,Total_Asset,BookMusic_Spend,Dining_Spend,Suppermarket_Spend,Travel_Spend,Inflow_Transaction_Count,Non_financial_Transaction_Count
0,M,Single,38,Chinese,HDB,0,0,0,0,0,0,1,0,4256.868133,6567.273141,30.72052842,0,115.9490076,0,861.9933736,9.292972103
0,F,Married,61,Indian,HDB,0,0,0,0,0,0,1,0,1336.439645,7726.431983,0,203.3021419,1179.777156,0,62.75170419,1.045533351
0,F,Married,45,Others,HDB,1,0,0,0,0,0,1,1,3512.524997,2364.754844,524.3491169,20.61155194,105.7400993,9.977176219,3302.796067,2.969729509
0,F,Married,46,Indian,HDB,0,0,0,0,0,1,1,0,1009.254996,1128.815068,0,0,328.1426095,0,664.6914256,1.06004708
1,F,Married,32,Chinese,HDB,1,0,0,0,0,0,1,1,594.6168319,3684.078878,5.798109843,767.8870213,458.4287135,2.402950296,1416.74145,2.144006213
0,F,Single,27,Others,Private Housing,1,0,0,0,0,0,1,0,5008.098025,108247.0535,0,0,8.77150802,0,0,0
0,F,Married,63,Chinese,HDB,0,0,0,0,0,1,0,0,678.4222534,42568.14661,0,0,445.6573674,0,0,0
0,M,Single,22,Unknown,Office Address,0,0,0,0,0,0,0,0,497.0808067,0,0,50.57663408,0,0,0,0
0,M,Married,40,Others,HDB,0,0,0,0,0,0,1,1,1691.413674,1924.035155,0,0,581.064933,0,1154.807177,0
1,M,Single,26,Chinese,Private Housing,1,0,0,0,0,1,1,1,870.3235026,1033.368436,135.2682881,1003.097154,102.1165192,0,288.3208527,9.061071043
0,M,Unknown,33,Indian,Office Address,1,0,0,0,0,0,1,1,687.6650208,3062.701558,0,0,0,0,5772.966838,6.562341759
1,M,Single,38,Chinese,Private Housing,0,0,0,0,0,1,1,0,3252.542819,2846.441412,0,0,0,0,307.9925151,2.094033323
0,F,Married,40,Indian,Private Housing,1,0,0,0,0,0,1,0,3387.958628,41868.05346,0,400.2783787,251.2145402,0,712.797814,0
0,M,Single,25,Chinese,HDB,1,0,0,0,0,0,1,0,3063.694836,39969.39704,0,1310.018721,363.7120897,0,0,1.059683319
0,F,Married,56,Malay,HDB,0,0,0,0,0,1,1,1,1233.197825,3934.383039,0,897.5381092,2695.767348,0,77.93144219,0
0,M,Single,29,Unknown,Private Housing,0,0,0,0,0,0,0,0,1463.885317,433.1943277,0,31.2768082,0,0,0,0
0,F,Single,39,Others,Private Housing,1,0,0,0,0,0,1,1,6332.272357,3266.554937,0,242.2591526,187.3029163,0,1297.760577,5.528727971
0,M,Married,50,Others,HDB,0,0,0,0,0,0,1,0,2803.93511,189.4365803,305.9507516,291.4674079,657.5427755,0,1307.408662,7.757219538
0,M,Unknown,29,Malay,HDB,0,0,0,0,0,0,1,1,3605.189333,3750.303932,115.4472958,1952.498195,814.7161072,100.3563575,2144.876911,5.105103549
0,F,Married,42,Others,HDB,1,0,0,1,0,1,1,1,428.4065942,39771.66964,130.4047364,1559.981035,2347.20109,0,1979.099437,1.913441901
0,M,Single,19,Chinese,Private Housing,1,0,0,0,0,0,1,1,888.0508716,7129.359793,0,1267.284732,197.0306508,0,1672.767994,4.361499566
1,F,Single,35,Chinese,HDB,0,0,0,0,0,0,1,1,3961.137599,1083.12763,7.929245849,234.3571797,0.293923095,0,721.1598094,0
0,F,Single,31,Indian,HDB,0,0,0,0,0,0,1,1,4085.949112,3852.355209,0,357.171572,239.5848059,0,2027.855093,3.272140699
0,M,Single,21,Chinese,HDB,1,0,0,0,0,0,1,0,650.9739775,76.3580445,512.5334634,295.8219213,3.91018069,0,601.3188154,0
0,M,Single,21,Unknown,Office Address,0,0,0,0,0,0,1,1,767.2061398,0,0,0,40.70033139,0,1470.464842,0
0,M,Single,24,Indian,HDB,1,0,0,0,0,0,1,0,631.6136707,5490.927444,0,905.0263592,0,0,1562.077793,6.027776204
0,F,Single,39,Chinese,Overseas Address,0,0,0,0,0,0,0,0,1434.620235,17305.38486,0,158.0681351,104.8383545,0,0,0
0,F,Married,56,Malay,HDB,0,0,0,0,0,0,1,1,443.4214936,338.6626355,0,104.0258521,483.5637946,0,2735.00385,5.44887301
0,M,Married,68,Chinese,HDB,1,1,0,0,0,0,1,1,8552.191936,1647.989954,0,954.9391622,627.6268408,0,2791.957516,9.776855234
0,M,Unknown,54,Chinese,HDB,0,0,0,0,0,0,0,0,4453.074559,85646.48815,22.56212244,0,0,0,0,0
0,M,Married,32,Chinese,HDB,1,0,0,1,0,0,1,1,5387.522733,2326.673976,10.19624478,179.7025125,0,0,51.61601067,0
0,M,Married,40,Chinese,HDB,0,0,0,0,0,0,0,1,2625.770223,5526.269605,522.6069703,0,0,0,0,0
1,F,Single,26,Chinese,HDB,1,0,0,0,0,0,1,1,5029.282796,73439.2091,35.25716002,1058.984104,202.9027894,792.6457019,827.8761931,2.029981672
0,M,Single,24,Indian,HDB,1,0,0,0,0,0,1,1,2632.769271,9.476091151,0,1162.860371,1483.802907,627.2963853,2180.265825,17.36481595
0,F,Single,28,Malay,HDB,0,0,0,0,0,0,1,1,441.9824588,226.8272688,0,0,51.21021001,0,997.2686235,2.121730353
0,F,Single,40,Chinese,HDB,1,0,0,0,0,0,1,1,372.0634942,674.1808675,0,0,58.05834338,0,3056.203935,5.087073738
0,M,Single,32,Indian,Office Address,1,0,0,0,0,0,1,1,961.2168436,15.99380569,0,93.5240917,24.94969449,0,198.5505841,1.813548759
0,F,Single,23,Chinese,HDB,1,0,0,0,0,0,1,1,434.3999217,7.955699146,0,760.8546763,118.6561139,265.0798958,2287.537452,3.943770741
1,F,Married,32,Chinese,Private Housing,1,0,0,0,0,0,1,1,4865.008483,4499.879651,15.39216027,1495.880378,519.3859655,0,1871.346287,0
0,M,Single,31,Indian,HDB,1,0,0,0,0,1,1,0,4032.914938,75982.23668,3.152434357,1495.043107,292.2106373,0,533.150369,0
0,M,Married,56,Others,HDB,1,0,0,0,0,0,1,1,2286.063682,29733.51428,0,112.9299684,30.40023452,0,822.2642566,3.186101786
0,M,Married,29,Malay,HDB,1,1,0,0,0,0,1,1,2745.198737,1120.473923,69.51776881,1159.006292,1175.071806,0,2125.710521,3.041553541
0,F,Married,66,Chinese,Private Housing,0,0,0,0,0,0,1,0,361.7626141,1269.174676,0,0,87.01522879,0,514.709064,0
1,F,Single,38,Chinese,HDB,1,0,0,0,0,0,1,1,6476.393511,3864.778957,34.40582301,60.81504483,75.343625,0,1764.438293,27.36208586
0,M,Single,25,Chinese,HDB,1,0,0,0,0,0,1,1,681.2573611,4260.680706,60.15505366,1289.380059,936.9834012,0,1114.269575,0
0,M,Unknown,24,Chinese,HDB,1,0,0,0,0,0,1,1,902.9292172,332.2864717,23.61981761,621.8781942,413.1876742,0,131.2037357,0
0,M,Single,31,Unknown,HDB,1,0,0,0,0,0,1,1,4496.704068,3.502897839,0,45.99079534,298.864603,0,1637.816771,3.041105713
0,M,Single,39,Unknown,Private Housing,0,0,0,0,0,0,1,0,677.8621134,1506.900419,0,0,407.4379066,0,728.6043237,0
0,F,Unknown,38,Malay,HDB,0,0,0,0,0,0,1,1,1836.332625,5482.716178,17.19290093,200.4113636,101.4272268,0,605.0697929,0.977626579
0,M,Married,49,Chinese,HDB,0,0,0,1,0,0,1,0,3360.483706,456.1580446,0,122.1678122,299.9763946,1366.901724,135.7658101,0.919424302
0,M,Married,62,Chinese,HDB,1,0,0,0,0,0,1,0,2105.444943,10371.43318,3.669284523,0,0,0,30.8462215,0
0,F,Married,32,Chinese,HDB,1,0,0,0,0,0,1,1,8226.521373,6851.747271,0,0,0,0,116.1313136,0
0,F,Married,35,Indian,Overseas Address,0,0,0,0,0,0,1,0,1461.595601,11.73110602,0,2.90450451,261.1348503,0,67.38002657,0.923516361
0,M,Single,27,Chinese,HDB,1,0,0,0,0,0,1,1,605.9198796,522.8722605,224.7998211,4207.565805,1191.420116,0,1789.083308,0
1,M,Single,27,Chinese,Private Housing,1,0,0,0,1,0,1,1,2468.623858,547.2484809,46.64596687,1902.484377,192.5688972,0,1148.452259,3.787517284
0,M,Married,62,Malay,HDB,0,0,0,0,0,1,1,1,2384.891854,29.54773671,0,559.7209585,0,0,1947.620227,0
0,M,Single,29,Others,Private Housing,0,0,0,0,0,0,1,0,773.9366247,2133.714564,0,0,18.24063922,0,17.65441724,0
0,M,Single,30,Chinese,HDB,1,0,0,0,0,0,1,0,2183.859059,7277.042801,23.58287117,1098.789122,2874.405248,1078.772252,1152.019298,0
0,M,Single,27,Malay,Overseas Address,1,0,0,0,0,0,1,1,1675.031754,908.5022037,0,90.01588551,184.9628319,0,1133.528258,2.925033144
0,F,Single,30,Chinese,HDB,1,0,0,0,0,0,1,1,2756.111509,3605.841955,31.59235878,820.6167278,278.3573116,126.035085,1099.25816,1.001606944
1,M,Single,32,Chinese,HDB,1,0,0,0,0,0,1,1,1745.450963,2160.509952,77.78529149,402.1566585,974.4098956,0,1402.604186,0
0,F,Single,23,Indian,HDB,1,0,0,0,0,0,1,1,1665.710576,0,0,381.6307451,17.3083163,0,327.2520904,0
0,M,Married,65,Malay,HDB,0,0,0,0,0,0,0,0,1387.18868,1346.041595,0,0,0,0,0,0
0,F,Single,32,Indian,Office Address,0,0,0,0,0,0,1,0,5144.078694,2785.950604,10.42174715,614.2578067,522.8284899,0,0,0
0,M,Single,23,Chinese,HDB,1,0,0,0,0,0,1,0,2339.191947,34440.40171,0,114.3660561,46.11816711,0,411.446713,4.700933245
0,M,Single,33,Chinese,HDB,0,0,0,0,0,0,1,0,1259.034979,2363.356759,0,0,0,0,4217.270588,7.671688561
0,F,Married,31,Others,HDB,1,0,0,0,0,0,1,0,1582.768109,10935.02825,0,228.4073311,140.8158034,0,595.3025962,0
1,F,Single,38,Others,HDB,1,0,0,0,0,0,1,1,6797.166251,73962.16555,0,477.4128123,1081.455027,0,2198.137549,2.066283808
0,M,Single,48,Chinese,Private Housing,0,0,0,0,0,0,1,1,269.2374695,218.4981765,448.2809438,86.85070431,0,667.2911605,209.8642472,0
0,F,Married,54,Chinese,HDB,1,0,0,0,0,1,1,1,7544.291881,476.0794634,0,0,71.72946801,0,610.5616523,28.41033093
0,F,Married,66,Malay,HDB,0,0,0,0,0,0,0,0,102.0270234,106.239831,0,258.0210585,708.4403698,0,0,0
0,M,Single,34,Others,HDB,1,0,0,0,0,0,1,1,2881.741829,1704.453606,26.41912713,389.7273163,152.0952355,0,2114.615068,0.950690662
0,M,Single,31,Indian,HDB,1,0,0,0,1,1,1,1,2858.662879,1749.720022,0,398.3510632,445.2056917,0,1799.682305,1.929674007
1,F,Single,27,Chinese,Private Housing,1,0,0,0,0,0,1,0,2578.171098,593.3857246,0,55.57283384,0,0,457.0856334,1.837902185
0,M,Single,23,Unknown,Overseas Address,0,0,0,0,0,0,1,1,2401.020115,3000.68371,0,0,0,0,251.6379661,0
0,M,Single,63,Indian,HDB,0,0,0,0,0,0,0,0,787.7308902,5213.935533,0,0,0,0,0,0
0,M,Married,39,Malay,Private Housing,0,0,0,0,0,0,1,0,2284.325836,423.7637056,0,211.8573293,0,61.79695425,4148.081824,1.946497749
0,M,Married,64,Malay,HDB,0,0,0,0,0,0,1,0,3713.3227,5410.45217,180.7685717,334.3988222,2685.400213,0,419.702701,1.950340123
0,F,Married,74,Chinese,HDB,0,0,0,0,0,0,0,0,1359.646851,8763.398099,0,32.96912536,854.7107533,0,0,0
1,M,Single,29,Chinese,Private Housing,1,0,0,0,0,0,1,1,587.7584249,468.6174395,0,58.91294249,0,0,149.9053854,3.640468382
0,M,Married,51,Malay,HDB,1,0,0,0,0,0,1,0,3138.923501,0,0,0,0,0,221.4338265,0
0,F,Married,36,Chinese,Private Housing,1,0,0,0,0,1,1,0,1915.516672,6347.499441,0,1336.054072,256.1797861,395.0780324,385.799791,1.97788859
0,F,Single,21,Others,HDB,1,0,0,0,0,0,1,1,628.7007492,44.64022426,0,1224.01071,21.55880289,0,4697.06889,0
0,F,Other,55,Chinese,HDB,0,0,0,0,0,1,1,0,364.0639086,71150.78872,0,106.8129744,559.520353,0,115.8906315,0
0,M,Single,25,Chinese,HDB,0,0,0,0,0,0,1,1,477.3868868,2.048995939,0,0,130.9617617,0,45.80723363,6.572810406
0,M,Married,55,Chinese,HDB,1,1,0,0,0,1,1,1,5869.844825,6893.807562,0,0,24.97276028,0,990.5278261,2.129477673
0,F,Single,72,Chinese,HDB,0,0,0,0,0,1,0,0,1347.004925,0,0,0,0,0,0,0
0,F,Single,34,Chinese,HDB,1,0,0,0,0,0,1,0,3297.414704,66.43864499,0,99.88618761,0,0,413.173362,0
0,M,Married,55,Chinese,HDB,0,0,0,0,0,0,1,0,327.03804,422.2156714,0,0,0,0,76.85084777,6.4973528
0,F,Married,33,Chinese,HDB,1,1,0,0,0,0,1,1,3065.809204,2420.078346,38.77032979,1031.562555,725.997568,0,2721.108359,2.888881109
0,M,Single,50,Chinese,HDB,0,0,0,0,0,0,1,1,4890.43276,1693.496759,0,0,0,0,313.9399056,0
0,F,Married,52,Chinese,HDB,1,0,0,0,0,1,1,0,1877.233579,56640.86118,0,0,586.0291575,0,249.6719221,0
1,M,Single,29,Chinese,HDB,1,0,0,0,0,0,1,0,2856.701534,137512.1386,10.98042504,1911.442108,264.5779098,226.9588088,0,0
0,M,Unknown,42,Chinese,Office Address,0,0,0,0,0,0,0,0,3166.541296,638.4180239,0,90.11455063,0,0,0,0
1,F,Single,32,Chinese,Unknown,1,0,0,0,0,1,1,1,5569.029308,0,0,200.5676424,303.8905601,0,1359.461523,6.194606977
0,F,Married,65,Chinese,HDB,0,0,0,0,0,0,0,0,2139.615616,107127.2575,0,0,0,0,0,0
0,F,Single,24,Chinese,HDB,1,0,0,0,0,0,1,1,404.5849643,1004.455652,44.96644355,1545.725113,511.3594384,36.35755511,1598.30642,13.96104425
0,M,Single,26,Malay,HDB,1,0,0,0,0,0,1,1,454.820729,194.5681535,0,0,0,16.76515035,400.1322154,0
0,M,Married,37,Indian,Private Housing,1,0,0,0,0,0,1,1,5164.763907,11527.56924,0,40.56685509,123.4224835,0,2189.957335,0.908726527
0,F,Single,20,Others,Private Housing,1,0,0,0,0,0,1,1,415.419644,137.809198,26.95235694,1694.426978,287.9879114,0,733.1288606,1.033792412
1,M,Unknown,40,Chinese,HDB,0,0,0,0,0,1,1,1,3002.583455,11224.07622,0,213.788223,967.0572924,202.7531467,1906.619595,6.641346095
0,M,Single,47,Chinese,HDB,0,0,0,0,0,0,1,1,2247.328227,3192.797751,0,0,16.02293374,0,30.45157644,0
0,F,Married,54,Chinese,HDB,0,0,0,0,0,1,1,1,2018.42963,29935.62432,0,0,95.94684308,0,138.8280657,0
0,M,Married,38,Malay,Private Housing,1,0,0,0,0,0,1,1,2979.833697,2201.805804,0,0,74.53957144,0,1043.315691,24.98405546
1,F,Married,30,Chinese,HDB,0,0,0,0,0,0,1,1,5191.122101,708.8003932,101.6385138,0,26.240224,0,1128.38465,1.891620582
0,M,Unknown,30,Others,Office Address,0,0,0,0,0,0,1,0,1076.149328,7052.395115,0,0,0,0,0,0
0,F,Married,51,Others,HDB,1,1,0,1,0,0,1,1,2793.976037,3113.406694,0,0,1103.128659,0,2283.813482,4.168376399
0,F,Married,36,Malay,HDB,0,0,0,0,0,0,1,0,495.7848064,66.36232667,0,12.04590753,27.54213673,0,0,0
0,M,Single,29,Unknown,Office Address,1,0,0,0,0,0,1,1,1317.958426,2535.91277,0,0,0,0,1804.553249,0
0,M,Married,47,Others,Private Housing,0,0,0,0,0,0,1,0,4999.35743,226.4745374,0,569.4608235,2020.482287,0,405.9180825,6.322714408
0,M,Single,30,Chinese,HDB,0,0,0,0,0,0,1,0,3493.13196,694.026044,0,144.4022564,437.9332298,0,1344.308745,2.883855234
0,M,Married,34,Malay,HDB,1,1,0,0,0,1,1,1,3204.167568,23.43312472,0,810.0934502,682.7011372,0,1038.621453,0
0,M,Single,22,Chinese,HDB,1,0,0,0,0,0,1,1,656.7484129,104.9713681,457.4162688,1207.236886,77.27715401,0,97.9132717,0
0,F,Single,29,Chinese,HDB,1,0,0,0,0,1,1,1,2976.353459,3105.62908,0,218.9783113,65.6836302,0,1888.918132,6.685053576
0,M,Married,53,Chinese,HDB,0,1,0,0,0,0,1,0,1159.509214,3045.807802,0,10.43401956,383.0164255,0,0,0
0,M,Married,79,Chinese,HDB,1,0,0,0,0,1,1,0,683.5044671,12236.99424,0,0,126.9073259,0,46.12247844,0
0,M,Single,22,Chinese,HDB,1,0,0,0,0,0,1,0,525.8864877,2342.718996,0,377.9836703,400.6907269,0,612.1004602,0
0,M,Married,39,Chinese,Private Housing,0,0,0,0,0,0,1,0,4544.050295,16012.90712,0,0,0,0,723.557789,1.915934989
0,M,Single,35,Indian,Office Address,0,0,0,0,0,0,1,1,739.7412703,63.19533328,0,13.36146107,38.29562076,0,800.0144679,0
0,F,Single,35,Chinese,Overseas Address,0,0,0,0,0,0,1,1,3238.001741,2158.201632,0,246.6102479,0,0,340.1518912,2.191973295
0,M,Single,35,Unknown,HDB,0,0,0,0,0,0,1,1,2718.078282,502.3421369,0,150.982914,206.8562023,0,562.1712109,0
0,F,Married,35,Chinese,Office Address,0,0,0,0,0,0,0,0,3001.712317,10425.11793,0,152.3637905,891.2581385,0,0,0
0,M,Married,71,Chinese,Private Housing,0,0,0,0,0,0,1,1,23.78214162,43600.08243,0,41.42644232,1147.233117,0,0,0.959252275
0,M,Single,27,Chinese,HDB,1,0,0,0,0,0,1,1,282.7633067,715.210616,0,8.070821199,122.735885,0,398.6985078,0.985712077
0,M,Married,35,Chinese,HDB,0,0,0,0,0,0,1,0,2112.622442,2814.501106,0,0,0,0,471.5197901,6.558809669
0,M,Single,20,Unknown,Private Housing,1,0,0,0,0,0,1,1,1023.85928,1939.06925,3.708209821,253.6626527,64.54516463,0,2471.061225,3.269634119
0,M,Unknown,34,Chinese,Private Housing,1,0,0,0,0,0,1,1,2524.784554,18102.43195,0,2715.288371,1126.46821,190.8633694,3040.907748,0
0,M,Single,67,Chinese,HDB,1,0,0,0,0,0,1,0,1704.276177,45776.5146,0,0,0,0,31.42792686,6.309702761
0,M,Single,43,Chinese,HDB,0,0,0,0,0,0,1,0,2225.557366,1116.719421,0,0,448.3557139,0,366.3124232,0
1,F,Married,61,Chinese,HDB,0,0,0,0,0,1,1,1,5810.597943,130220.7768,0,0,2123.835088,0,70.81611394,1.90847298
0,M,Married,29,Indian,Office Address,0,0,0,0,0,0,1,1,434.7700195,1041.523599,0,28.61655609,56.48844145,0,730.9825855,6.070663847
0,F,Single,35,Unknown,HDB,1,0,0,0,0,0,1,1,2305.618614,1000.488092,0,566.9095873,482.57146,0,1464.40239,0
0,M,Single,25,Indian,HDB,1,0,0,0,0,0,1,0,4997.829739,12666.85393,0,22.83912402,220.0105198,0,1474.433006,1.084553122
0,M,Single,30,Unknown,Unknown,0,0,0,0,0,0,0,0,1359.479336,160.1915484,0,0,22.93301407,0,0,0
1,F,Single,30,Chinese,Other,0,0,0,0,0,0,1,0,3915.400831,148.9230904,0,143.4204797,197.8464557,0,363.9200436,0
0,F,Married,42,Others,HDB,0,0,0,0,0,0,1,0,4590.76647,2265.773423,0,553.7085409,547.7918227,328.0826462,0,0
0,M,Unknown,65,Chinese,Private Housing,0,0,0,0,0,0,0,0,3142.104538,10012.8159,0,0,0,0,0,0
0,M,Married,56,Chinese,HDB,0,0,0,0,0,1,1,0,9057.584114,22695.16156,0,0,0,0,15.8238734,1.076233887
0,M,Single,31,Chinese,HDB,1,1,0,0,0,1,1,0,3844.667447,11.13272799,0,118.5472905,70.5812662,0,2157.603606,5.086526487
0,M,Single,32,Chinese,HDB,1,0,0,0,0,1,1,1,3483.686701,2551.167733,77.39309737,1018.847956,858.1075428,0,631.6296828,0
0,F,Single,21,Chinese,Private Housing,1,0,0,0,0,1,1,1,279.3229623,47.09992684,21.77796607,588.2012594,241.6997162,0,1056.827618,3.158193117
0,F,Married,72,Indian,HDB,0,0,0,0,0,0,0,0,1471.391867,250.3665099,0,93.02262837,271.0556667,0,0,0
0,M,Single,30,Indian,HDB,1,0,0,0,0,0,1,1,4675.694922,43477.19382,0,541.6934701,1418.942185,0,2591.509428,0.978885546
1,F,Single,26,Chinese,HDB,1,0,0,0,0,0,1,1,2078.256295,2656.817993,136.5194391,711.1359998,208.4866856,220.4569561,2153.903629,3.989685796
0,F,Single,26,Chinese,HDB,0,0,0,0,0,1,1,0,3707.830736,986.6761104,0,0,0,30.83150992,183.6010272,0
0,F,Married,54,Chinese,HDB,1,0,0,0,0,0,1,0,593.5837514,30672.77233,0,23.93493333,265.7220135,0,61.83094655,2.062505594
0,F,Married,38,Chinese,Private Housing,1,0,0,0,0,0,1,1,8620.399622,98835.03783,130.9710655,395.2574162,322.6879749,6.75619456,608.4275837,6.352995432
0,M,Married,51,Others,HDB,1,0,0,0,0,0,1,1,4776.840806,305.424444,8.228249204,108.1256779,441.5823839,0,3470.17182,10.88192738
0,F,Single,38,Others,HDB,1,0,0,0,0,0,1,1,2569.10827,1466.681177,0,657.3371622,371.5214509,512.3981161,1062.052135,0
0,M,Single,36,Others,Unknown,0,0,0,0,0,0,0,0,1091.549509,1388.904278,0,47.11216037,95.85583747,0,0,0
0,F,Married,61,Chinese,HDB,0,0,0,0,0,1,0,0,455.6747819,23632.83962,0,0,183.1056471,0,0,0
0,M,Single,24,Indian,Private Housing,0,0,0,0,0,0,1,1,2106.905583,36.15140186,0,29.50596495,122.0739472,0,1377.059023,12.66200019
0,M,Married,61,Chinese,HDB,1,0,0,0,0,0,1,0,2.428590991,1368.044674,0,0,224.1572153,0,956.0226359,5.933298438
0,M,Single,40,Indian,Private Housing,1,0,0,0,0,0,1,1,10039.17615,63999.36143,101.6774532,371.7641875,1577.153442,0,1291.947446,1.999538272
0,M,Married,58,Malay,HDB,0,0,0,0,0,0,1,1,1231.278931,444.4412713,0,88.44191765,74.33447446,0,30.34843243,4.03461764
0,F,Married,53,Chinese,Private Housing,1,0,0,0,0,1,1,1,2386.133434,48115.92968,0,149.5245709,2625.287131,0,1147.04775,7.661535481
0,F,Married,54,Others,HDB,1,0,0,0,0,0,1,1,9492.211538,4692.411555,45.33822703,860.8381047,1644.030682,0,1224.056905,7.357471069
0,M,Married,56,Chinese,HDB,0,0,0,0,0,0,1,0,11860.42371,322.3142494,23.35926172,37.59713698,274.6325725,0,236.7653293,0
0,M,Married,54,Malay,HDB,0,0,0,0,0,0,1,1,2350.90361,879.7343711,0,508.8758809,602.2320927,0,2070.900871,6.045299993
0,M,Married,49,Chinese,HDB,1,1,0,0,0,0,1,1,5933.498247,2658.673313,77.29072725,44.60269191,97.04190701,0,1367.081858,5.240806399
0,M,Single,28,Chinese,HDB,1,0,0,0,0,0,1,1,331.5104458,1187.030963,0,503.4070247,634.493588,0,1099.316476,9.302342178
0,F,Unknown,46,Chinese,HDB,0,0,0,0,0,0,0,0,1877.155744,198.5824887,9.536963391,0,0,0,0,0
0,F,Married,51,Chinese,HDB,1,0,0,0,0,1,1,0,3955.445856,72150.89307,2.937294866,182.0658498,312.241798,0,571.4538224,3.100758344
1,F,Married,67,Chinese,Private Housing,1,0,0,0,0,1,1,0,6579.32341,170894.6959,0,439.8352446,323.4024018,0,778.8571498,0.967791024
0,F,Unknown,26,Malay,HDB,1,0,0,0,0,0,1,1,2331.747032,26085.73316,0,543.5666246,474.1940958,401.5863626,1277.748468,0
0,F,Single,18,Chinese,HDB,0,0,0,0,0,0,1,0,576.5147288,15.22375241,0,40.13687039,48.8333166,0,57.63716659,0
0,M,Unknown,32,Chinese,HDB,1,0,0,0,0,0,1,1,3795.790094,23829.36024,0,1766.541138,690.8281193,18.12020223,650.1726812,1.013738562
0,F,Married,76,Chinese,Private Housing,0,0,0,0,0,0,0,0,5201.13285,47531.77854,0,1135.796689,443.289956,0,0,0
0,M,Married,41,Chinese,HDB,1,0,0,0,0,1,1,1,2436.644184,24161.70273,0,0,538.5058718,0,1934.0384,1.096371122
0,M,Unknown,59,Chinese,HDB,1,0,0,0,0,0,1,0,3386.254895,229.2340406,0,0,32.02080487,0,5.876075903,0
1,F,Single,28,Indian,HDB,0,0,0,0,0,0,1,1,6005.265309,1454.534524,0,1525.93208,863.0357365,0,1301.597534,0.948092986
0,M,Single,51,Chinese,HDB,0,0,0,0,0,0,1,1,885.3977458,238.0227055,0,294.4261725,968.8303776,0,3626.246894,8.649005942
